ID do hospedeiro;nome do hospedeiro;Cidade;Bairro;Tipo de Imovel;pre�o;minimo de noite;numero de avalia��es;ultima avalia��o;avalia��es por m�s;contagem calculada de listagens de hospede;disponibilidade 365;;
7549;Ben;Manhattan;Lower East Side;Shared room;40;1;214;05/07/2019;1.81;4;188;;
46978;Edward;Manhattan;East Village;Private room;68;2;245;21/06/2019;2.08;2;96;;
47610;Abdul;Brooklyn;South Slope;Entire home/apt;120;3;15;27/05/2019;0.39;1;345;;
47618;Yolande;Brooklyn;Fort Greene;Private room;120;7;25;30/09/2018;0.23;1;311;;
16800;Cyn;Manhattan;Upper West Side;Private room;135;4;81;16/06/2019;0.69;1;273;;
47727;Earl;Manhattan;Harlem;Entire home/apt;150;7;97;13/06/2019;0.84;1;309;;
49670;Rana;Brooklyn;Prospect-Lefferts Gardens;Entire home/apt;150;29;11;05/06/2019;0.49;1;95;;
50124;Orestes;Queens;Long Island City;Private room;130;3;248;01/07/2019;2.25;1;215;;
50148;Adreinne;Brooklyn;Bedford-Stuyvesant;Entire home/apt;110;7;61;25/05/2019;0.52;1;265;;
50846;Jennifer;Brooklyn;Bedford-Stuyvesant;Entire home/apt;115;3;11;01/01/2017;0.10;1;0;;
52335;Alexander;Brooklyn;Fort Greene;Private room;80;3;135;17/06/2019;1.16;2;192;;
54275;JT And Tiziana;Brooklyn;Bedford-Stuyvesant;Private room;80;1;112;16/06/2019;1.01;3;251;;
56094;Joya;Manhattan;Upper West Side;Entire home/apt;151;2;73;07/07/2019;0.63;1;302;;
56104;James;Brooklyn;Williamsburg;Entire home/apt;228;3;82;17/05/2019;0.70;1;140;;
56246;Jeanne;Brooklyn;Greenpoint;Entire home/apt;144;2;328;29/06/2019;2.82;1;234;;
56284;Francesca;Manhattan;Kips Bay;Entire home/apt;200;7;19;25/03/2019;0.22;1;257;;
56512;Joanna;Brooklyn;Williamsburg;Entire home/apt;150;30;105;22/06/2019;0.90;1;30;;
59023;Bianca;Manhattan;Lower East Side;Private room;110;5;19;18/05/2019;0.17;1;301;;
59734;Luiz;Manhattan;Hell's Kitchen;Private room;69;2;289;09/06/2019;2.49;2;294;;
32169;Andrea;Brooklyn;Greenpoint;Private room;49;4;138;04/06/2019;1.19;3;320;;
60049;Ted;Manhattan;SoHo;Entire home/apt;180;30;21;29/06/2019;0.30;1;154;;
60252;Cristina;Brooklyn;Williamsburg;Private room;80;2;42;30/06/2019;0.38;1;263;;
60278;Petra;Manhattan;Chelsea;Entire home/apt;375;180;5;03/11/2018;0.12;1;180;;
61491;D;Manhattan;Upper East Side;Entire home/apt;250;2;66;30/03/2019;0.57;2;231;;
63588;Dimitri;Brooklyn;Prospect Heights;Entire home/apt;200;30;143;26/01/2019;1.33;2;297;;
63613;Patricia;Brooklyn;Clinton Hill;Private room;55;7;27;30/09/2017;0.23;2;292;;
63924;Mark;Manhattan;Hell's Kitchen;Private room;52;30;191;16/05/2019;1.65;1;191;;
64056;Sara;Brooklyn;Park Slope;Entire home/apt;225;3;4;24/09/2017;0.16;1;0;;
64442;Reka;Manhattan;East Village;Private room;80;1;338;01/07/2019;4.72;2;72;;
64522;Daniel;Brooklyn;Williamsburg;Entire home/apt;275;1;148;23/06/2019;1.40;1;362;;
4396;Casey;Manhattan;East Village;Private room;99;1;106;21/06/2019;1.26;2;336;;
65837;Robin;Manhattan;East Harlem;Entire home/apt;225;4;190;23/06/2019;1.64;1;215;;
66035;Anna;Manhattan;East Village;Entire home/apt;230;9;49;14/05/2018;0.43;1;116;;
66243;Enzo;Manhattan;Hell's Kitchen;Private room;51;7;23;01/06/2019;0.43;1;88;;
68428;Tye And Etienne;Manhattan;Washington Heights;Private room;65;2;49;18/06/2019;1.60;2;336;;
68599;George;Brooklyn;Clinton Hill;Private room;105;2;105;26/06/2019;0.92;1;304;;
69829;Josh;Manhattan;East Village;Entire home/apt;190;5;21;02/01/2019;0.20;1;224;;
69942;Victoria;Manhattan;Upper East Side;Private room;200;1;142;06/07/2019;1.50;1;322;;
70091;Justin;Queens;Woodside;Private room;70;30;25;31/05/2019;0.22;1;324;;
71512;Blaise;Brooklyn;Fort Greene;Private room;95;3;143;16/06/2019;1.28;1;132;;
71876;DAVID And RICK;Manhattan;Chelsea;Private room;150;3;167;28/05/2019;1.65;1;295;;
72014;Lulú;Brooklyn;Williamsburg;Private room;145;3;61;22/04/2019;0.54;4;238;;
73051;Sybilla;Manhattan;Harlem;Entire home/apt;110;31;54;23/03/2019;0.49;1;209;;
73128;JoLynn;Manhattan;Lower East Side;Entire home/apt;285;5;70;30/06/2019;0.62;1;328;;
73469;Gaia;Brooklyn;Flatbush;Entire home/apt;130;6;16;15/06/2019;0.15;1;38;;
44263;Ana;Manhattan;Lower East Side;Private room;94;30;94;08/04/2019;0.84;1;188;;
74303;Maggie;Brooklyn;Brooklyn Heights;Entire home/apt;800;1;25;04/08/2016;0.24;1;7;;
74857;Starlee;Brooklyn;Williamsburg;Entire home/apt;105;3;61;09/08/2018;0.53;1;272;;
62407;Edward;Manhattan;East Village;Private room;60;3;194;30/06/2019;1.73;1;26;;
76627;Pas;Manhattan;East Village;Private room;50;1;2;14/02/2016;0.05;1;0;;
72014;Lulú;Brooklyn;Williamsburg;Private room;85;3;174;22/06/2019;1.54;4;288;;
961342;Augustin;Brooklyn;Bushwick;Private room;65;4;24;26/05/2019;0.28;1;317;;
78460;Sean & Lynette;Brooklyn;Prospect Heights;Entire home/apt;131;4;166;27/06/2019;3.40;1;207;;
51038;Erica;Brooklyn;Clinton Hill;Private room;98;7;16;31/05/2019;0.20;6;185;;
79070;Tracy;Brooklyn;Prospect Heights;Entire home/apt;250;7;21;21/05/2019;0.30;1;158;;
79402;Christiana;Brooklyn;Williamsburg;Entire home/apt;100;5;168;22/07/2018;1.57;1;0;;
44145;Tyrome;Brooklyn;Bushwick;Entire home/apt;105;3;118;18/06/2019;1.05;2;9;;
42032;Dana;Manhattan;Upper West Side;Entire home/apt;140;3;81;07/07/2019;0.71;1;198;;
82685;Elliott;Manhattan;Harlem;Private room;89;1;1;09/10/2018;0.11;1;365;;
83257;Olan;Manhattan;Chelsea;Private room;98;30;30;01/05/2019;0.27;2;364;;
87773;Shelly;Brooklyn;Bedford-Stuyvesant;Entire home/apt;125;7;139;28/10/2018;1.23;2;311;;
32294;Ssameer Or Trip;Manhattan;Harlem;Private room;60;3;11;03/01/2019;0.87;3;219;;
11481;Annette;Brooklyn;Carroll Gardens;Entire home/apt;175;2;233;24/06/2019;2.09;3;342;;
63318;Meka;Manhattan;Washington Heights;Private room;65;2;68;01/11/2012;0.60;1;312;;
93790;Ann;Manhattan;West Village;Entire home/apt;500;4;46;18/05/2019;0.55;2;243;;
97219;Seth;Brooklyn;Williamsburg;Private room;101;3;335;29/05/2019;3.02;1;152;;
97797;Brenda;Brooklyn;Park Slope;Entire home/apt;220;30;88;02/11/2018;0.79;1;9;;
87773;Shelly;Brooklyn;Bedford-Stuyvesant;Entire home/apt;125;90;162;28/06/2019;1.46;2;137;;
105538;Erik;Brooklyn;Williamsburg;Entire home/apt;80;30;29;26/05/2018;0.40;1;222;;
107628;Dena;Manhattan;Harlem;Private room;100;2;170;23/06/2019;1.61;1;346;;
109589;Jessica;Brooklyn;Gowanus;Entire home/apt;200;30;19;17/03/2017;0.20;1;208;;
59734;Luiz;Manhattan;Hell's Kitchen;Private room;59;2;334;16/06/2019;3.00;2;279;;
51038;Erica;Brooklyn;Clinton Hill;Private room;125;2;19;02/06/2019;0.20;6;250;;
112793;Sally;Manhattan;East Village;Entire home/apt;140;7;12;11/12/2017;0.13;1;164;;
42273;Dani;Brooklyn;South Slope;Entire home/apt;120;30;467;30/12/2018;4.22;2;192;;
72062;Bruce;Manhattan;East Village;Entire home/apt;350;2;7;09/08/2017;0.06;4;298;;
115157;Nimo;Manhattan;Kips Bay;Entire home/apt;199;5;38;02/12/2015;0.38;1;260;;
115307;Alexandra;Brooklyn;Williamsburg;Entire home/apt;325;3;324;23/06/2019;3.01;1;107;;
115560;Stacy;Manhattan;Upper West Side;Entire home/apt;235;6;27;27/04/2019;0.27;1;199;;
72062;Bruce;Manhattan;East Village;Entire home/apt;225;1;115;07/06/2019;1.05;4;299;;
118971;Evelyn;Brooklyn;South Slope;Private room;99;2;354;20/05/2019;3.20;3;20;;
119510;Emma;Manhattan;Harlem;Entire home/apt;170;2;195;01/07/2019;2.03;1;318;;
119588;Vero;Brooklyn;South Slope;Entire home/apt;400;2;16;30/12/2018;0.24;2;216;;
119900;Sylvie;Manhattan;Upper West Side;Entire home/apt;170;7;13;26/06/2019;0.12;1;224;;
120223;Jen;Manhattan;East Village;Entire home/apt;100;4;25;10/12/2011;0.23;1;0;;
65091;Kay;Brooklyn;Prospect-Lefferts Gardens;Private room;75;2;9;05/10/2018;0.08;1;324;;
6197784;Jo;Brooklyn;Williamsburg;Private room;90;1;9;18/09/2011;0.08;1;245;;
124352;Lisa;Manhattan;Upper East Side;Entire home/apt;150;5;21;15/08/2017;0.19;1;189;;
124797;Fernando And Lenin;Manhattan;Washington Heights;Private room;85;15;36;17/08/2017;0.33;1;307;;
35935;Angela;Brooklyn;Bedford-Stuyvesant;Private room;70;3;63;14/05/2019;0.58;2;310;;
126607;Laurine;Manhattan;Harlem;Entire home/apt;120;3;155;20/06/2019;1.42;3;213;;
127608;Chris;Brooklyn;Clinton Hill;Private room;89;3;260;03/07/2019;2.35;1;278;;
125857;Uli;Manhattan;East Village;Entire home/apt;185;5;73;25/06/2019;0.66;1;209;;
129352;Sol;Brooklyn;Greenpoint;Private room;50;3;193;20/05/2019;1.86;1;0;;
120335;Cs;Manhattan;Lower East Side;Entire home/apt;105;3;32;14/06/2019;0.29;1;16;;
117287;Lara;Manhattan;Hell's Kitchen;Private room;130;2;50;26/05/2019;0.45;3;234;;
135619;Tom;Manhattan;West Village;Entire home/apt;115;29;26;01/07/2019;0.25;1;12;;
137292;Sunder;Brooklyn;Flatlands;Private room;77;2;2;01/01/2019;0.02;1;178;;
137814;Waldemar;Brooklyn;Clinton Hill;Private room;76;2;426;24/06/2019;3.89;3;275;;
137974;Khem;Brooklyn;Bedford-Stuyvesant;Entire home/apt;125;3;227;23/06/2019;2.09;2;163;;
116599;Sahr;Brooklyn;Clinton Hill;Private room;135;4;84;01/07/2019;0.77;3;365;;
138579;Ali+Scott;Brooklyn;Greenpoint;Entire home/apt;250;29;3;30/07/2017;0.03;1;34;;
139612;Elisabeth;Brooklyn;Williamsburg;Entire home/apt;199;3;10;11/06/2018;0.10;1;280;;
139874;Sarah;Brooklyn;Cobble Hill;Entire home/apt;140;2;4;24/04/2016;0.04;1;0;;
140025;Fredah;Queens;Flushing;Private room;140;2;1;19/09/2011;0.01;1;1;;
137974;Khem;Brooklyn;Bedford-Stuyvesant;Entire home/apt;115;3;124;20/06/2019;1.72;2;170;;
142833;Katherine;Brooklyn;Williamsburg;Entire home/apt;160;3;11;02/07/2019;0.11;1;188;;
143027;Ming;Brooklyn;Williamsburg;Entire home/apt;195;4;240;17/06/2019;2.19;1;214;;
143048;Paula;Manhattan;East Village;Entire home/apt;195;3;30;17/06/2019;0.28;1;248;;
72014;Lulú;Brooklyn;Williamsburg;Private room;80;3;200;22/06/2019;1.86;4;262;;
149929;Obed;Brooklyn;Fort Greene;Private room;44;8;27;29/06/2019;1.05;5;280;;
120291;Karen;Manhattan;West Village;Private room;156;4;79;22/06/2019;0.74;1;307;;
62165;Michael;Brooklyn;Prospect Heights;Private room;85;15;9;10/05/2013;0.09;1;339;;
142684;White;Brooklyn;Williamsburg;Private room;125;3;155;13/06/2019;1.61;1;1;;
137432;Paz;Brooklyn;Prospect Heights;Entire home/apt;115;15;4;27/08/2018;0.05;1;269;;
157798;Irene;Manhattan;East Harlem;Private room;69;2;34;29/05/2017;0.32;1;10;;
158284;Karene;Manhattan;West Village;Entire home/apt;225;45;134;31/03/2019;1.24;1;312;;
159370;Viviana;Brooklyn;Williamsburg;Entire home/apt;125;6;27;27/12/2018;0.25;1;189;;
92788;Sara;Manhattan;Upper East Side;Entire home/apt;219;4;126;26/06/2019;1.16;2;290;;
165789;Sarah;Brooklyn;Boerum Hill;Entire home/apt;475;3;23;31/12/2018;0.27;1;230;;
168417;Marie;Manhattan;Upper East Side;Entire home/apt;99;1;234;08/06/2019;2.60;2;164;;
168525;Gus;Brooklyn;Williamsburg;Private room;69;4;202;28/05/2019;1.86;2;53;;
110506;Myung;Queens;Sunnyside;Private room;79;30;28;12/04/2019;0.26;1;126;;
170510;Renée;Brooklyn;Bedford-Stuyvesant;Entire home/apt;135;2;309;22/06/2019;2.86;2;3;;
171851;Henry;Brooklyn;DUMBO;Private room;250;3;14;25/04/2011;0.13;1;189;;
174025;Sylvia;Manhattan;Upper East Side;Entire home/apt;250;3;4;23/09/2016;0.08;1;365;;
180083;Syl;Brooklyn;Gowanus;Entire home/apt;250;2;80;06/07/2019;2.17;1;0;;
181167;Lorenzo;Manhattan;Harlem;Entire home/apt;80;3;2;02/11/2015;0.04;1;0;;
137814;Waldemar;Brooklyn;Clinton Hill;Private room;70;2;294;24/06/2019;3.47;3;336;;
11481;Annette;Brooklyn;Carroll Gardens;Entire home/apt;165;2;150;18/06/2019;1.40;3;342;;
185978;Newyorkroomwithaview;Staten Island;St. George;Private room;70;2;166;13/06/2019;1.66;1;312;;
177536;Tessa;Brooklyn;Bushwick;Private room;50;2;47;19/06/2019;0.94;1;37;;
190409;Waundell;Bronx;Highbridge;Private room;40;1;219;04/07/2019;2.04;3;353;;
193360;Young;Brooklyn;Williamsburg;Entire home/apt;150;2;193;06/07/2016;1.78;1;177;;
72062;Bruce;Manhattan;East Village;Private room;125;1;84;23/06/2019;0.78;4;310;;
193722;Coral;Manhattan;Financial District;Entire home/apt;196;3;114;20/06/2019;1.06;1;0;;
181376;Carol;Brooklyn;Fort Greene;Private room;110;2;213;24/06/2019;2.00;2;321;;
193637;Sara;Manhattan;West Village;Entire home/apt;170;3;86;01/06/2019;0.80;1;246;;
126607;Laurine;Manhattan;Harlem;Entire home/apt;165;3;80;26/05/2019;0.75;3;231;;
201297;Myrna;Manhattan;West Village;Entire home/apt;150;26;38;20/04/2016;0.36;1;225;;
202249;Campbell;Manhattan;Harlem;Entire home/apt;100;2;18;17/12/2018;1.79;1;0;;
67778;Doug;Brooklyn;Fort Greene;Private room;65;2;206;30/06/2019;1.92;2;0;;
204539;Mark;Queens;Ridgewood;Entire home/apt;350;8;10;12/05/2019;0.11;5;365;;
867225;Rahul;Manhattan;Morningside Heights;Private room;99;4;122;14/05/2019;1.18;2;233;;
204724;Miyoung;Brooklyn;Williamsburg;Entire home/apt;200;4;33;08/04/2019;0.58;1;1;;
8198;Monica;Brooklyn;Park Slope;Entire home/apt;150;5;52;05/06/2019;0.50;1;18;;
209460;Marylyn;Brooklyn;Bedford-Stuyvesant;Private room;90;3;126;19/05/2019;1.17;4;343;;
210746;Kathleen R.;Brooklyn;Prospect Heights;Private room;120;3;51;24/06/2019;0.48;3;250;;
212722;Teresa;Manhattan;Upper East Side;Private room;75;3;199;24/06/2019;1.85;1;326;;
214148;Robert;Brooklyn;Bedford-Stuyvesant;Entire home/apt;175;26;30;03/09/2012;0.29;1;364;;
214287;Alex;Manhattan;Chelsea;Entire home/apt;125;3;3;17/07/2015;0.03;1;0;;
218404;Claudia;Manhattan;Hell's Kitchen;Entire home/apt;275;1;41;26/06/2019;0.38;1;299;;
221873;Shane;Manhattan;Lower East Side;Entire home/apt;299;2;109;15/06/2019;1.04;1;207;;
;;;;;;;;;;;;;
236421;Jessica;Manhattan;Upper East Side;Private room;130;14;0;;;2;0;;
236655;Erina;Manhattan;Lower East Side;Private room;83;1;285;22/06/2019;2.69;1;7;;
237329;Lee;Manhattan;Chelsea;Private room;123;1;375;18/06/2019;3.52;1;328;;
27848;Jullett;Queens;Jamaica;Private room;55;2;52;20/05/2019;0.49;2;365;;
240360;Marlaine;Manhattan;Hell's Kitchen;Entire home/apt;195;5;10;01/07/2019;1.01;1;0;;
247432;Charlotte;Brooklyn;Bedford-Stuyvesant;Private room;80;2;11;13/11/2017;0.48;1;0;;
204539;Mark;Queens;Middle Village;Entire home/apt;98;30;33;09/05/2015;0.31;5;240;;
204539;Mark;Queens;Ridgewood;Private room;140;7;6;08/10/2015;0.06;5;365;;
204539;Mark;Queens;Middle Village;Entire home/apt;265;7;38;27/04/2019;0.38;5;365;;
10889;Bob;Brooklyn;Williamsburg;Entire home/apt;249;2;358;20/06/2019;3.44;2;164;;
255583;Anka;Manhattan;Hell's Kitchen;Shared room;105;6;10;07/01/2014;0.09;1;363;;
253385;Douglas;Manhattan;Harlem;Private room;200;30;0;;;1;365;;
210746;Kathleen R.;Brooklyn;Prospect Heights;Private room;100;2;226;06/06/2019;2.12;3;250;;
256161;Wayne;Manhattan;Harlem;Entire home/apt;121;1;104;22/06/2019;1.00;5;247;;
190409;Waundell;Bronx;Highbridge;Private room;45;1;138;30/06/2019;1.45;3;323;;
258164;Jenny;Manhattan;East Harlem;Private room;100;5;204;23/06/2019;1.92;1;192;;
260709;Paul;Brooklyn;Williamsburg;Entire home/apt;140;2;253;02/07/2019;3.04;1;125;;
262138;Tami;Brooklyn;Bedford-Stuyvesant;Private room;71;2;23;01/07/2019;0.22;1;91;;
88209;Jason;Manhattan;NoHo;Private room;130;2;115;05/12/2018;1.17;1;75;;
263414;Pete;Manhattan;West Village;Entire home/apt;199;5;129;19/05/2019;1.22;1;286;;
168525;Gus;Brooklyn;Williamsburg;Private room;69;4;82;10/06/2019;1.13;2;60;;
264928;Sally;Brooklyn;Fort Greene;Private room;68;3;37;31/12/2018;0.35;1;0;;
267593;Leonardo;Manhattan;East Village;Entire home/apt;130;1;204;01/07/2019;2.04;1;192;;
268014;Alex;Brooklyn;Greenpoint;Entire home/apt;195;2;69;13/06/2019;0.65;1;58;;
256161;Wayne;Manhattan;Harlem;Private room;64;1;192;03/06/2019;1.84;5;245;;
272006;Vasili;Queens;Ditmars Steinway;Entire home/apt;140;2;17;17/06/2019;0.16;1;292;;
199392;S.M.;Brooklyn;Cobble Hill;Entire home/apt;159;2;222;24/06/2019;2.12;1;279;;
239208;Ori;Manhattan;East Village;Entire home/apt;189;3;205;23/06/2019;1.96;1;0;;
274557;Ana;Manhattan;Hell's Kitchen;Entire home/apt;250;3;94;09/06/2019;0.96;1;3;;
275459;I;Manhattan;East Village;Entire home/apt;239;3;7;24/05/2019;0.07;1;351;;
275578;R;Manhattan;Flatiron District;Entire home/apt;305;2;108;30/06/2019;1.09;1;201;;
276291;Simon;Manhattan;Harlem;Entire home/apt;155;3;222;26/06/2019;2.10;2;232;;
277379;Agnes;Manhattan;Harlem;Private room;60;1;458;03/07/2019;4.58;2;258;;
277394;Linda;Brooklyn;Windsor Terrace;Private room;135;2;21;17/05/2019;0.26;1;272;;
279797;Dave;Manhattan;Roosevelt Island;Private room;120;7;17;08/05/2019;0.30;1;341;;
282927;Drica;Manhattan;Lower East Side;Entire home/apt;150;3;41;02/01/2019;0.39;1;244;;
204539;Mark;Queens;Ridgewood;Entire home/apt;140;14;1;17/09/2012;0.01;5;365;;
274782;Betty;Brooklyn;Greenpoint;Entire home/apt;135;2;69;19/05/2019;0.67;1;12;;
186084;Ricardo & Ashlie;Manhattan;Chinatown;Entire home/apt;250;4;18;01/07/2019;0.18;2;265;;
288031;Leslie;Manhattan;Midtown;Entire home/apt;250;30;82;05/01/2016;0.78;1;0;;
289653;Harrison;Manhattan;SoHo;Entire home/apt;500;4;94;23/06/2019;0.99;1;329;;
99212;Jessica;Manhattan;Greenwich Village;Entire home/apt;225;5;10;11/05/2019;0.10;1;91;;
292204;Blanca;Manhattan;East Harlem;Entire home/apt;125;28;183;29/09/2018;1.83;2;365;;
256161;Wayne;Manhattan;Harlem;Private room;92;1;189;11/06/2019;1.82;5;253;;
249372;Cynthia;Manhattan;Harlem;Private room;175;2;1;07/10/2018;0.11;1;365;;
292630;Mich;Manhattan;East Village;Entire home/apt;99;2;127;20/06/2019;1.22;1;320;;
293394;Rachel;Manhattan;Upper West Side;Entire home/apt;195;4;4;25/08/2017;0.04;1;0;;
126607;Laurine;Manhattan;East Harlem;Entire home/apt;140;3;135;20/06/2019;1.30;3;192;;
295760;Greta;Manhattan;Little Italy;Entire home/apt;135;2;21;12/12/2015;0.20;1;0;;
291112;Frank;Manhattan;Chelsea;Entire home/apt;500;2;35;27/07/2017;0.34;1;348;;
297176;Bethania;Manhattan;Harlem;Private room;80;14;10;01/06/2019;2.21;2;0;;
297769;Tunji;Manhattan;Chinatown;Private room;120;4;171;23/06/2019;1.80;2;353;;
23619;Anna/Fonzy;Manhattan;Midtown;Entire home/apt;110;200;92;30/04/2019;0.90;1;140;;
281764;Colette&Sean;Brooklyn;East Flatbush;Entire home/apt;65;3;238;14/06/2019;2.30;1;2;;
303882;Brie;Manhattan;East Village;Entire home/apt;130;50;56;26/05/2019;0.58;1;56;;
197755;Sheila;Brooklyn;Bushwick;Entire home/apt;99;3;111;22/06/2019;2.13;1;68;;
303939;Lissette;Staten Island;Tompkinsville;Private room;36;2;193;25/06/2019;1.85;6;360;;
303939;Lissette;Staten Island;Tompkinsville;Private room;37;2;147;10/06/2019;1.44;6;0;;
303939;Lissette;Staten Island;Tompkinsville;Private room;37;2;177;02/07/2019;1.71;6;320;;
306545;Olivia;Manhattan;East Village;Entire home/apt;175;3;185;24/05/2019;1.78;2;326;;
306605;Daniel;Manhattan;Chelsea;Entire home/apt;205;9;62;21/06/2019;0.70;2;76;;
306739;Maya;Brooklyn;Greenpoint;Entire home/apt;285;3;124;16/06/2019;1.22;3;279;;
308875;Scott;Brooklyn;Williamsburg;Private room;59;2;181;23/06/2019;1.77;2;15;;
303939;Lissette;Staten Island;Tompkinsville;Private room;36;2;333;02/07/2019;3.19;6;340;;
307962;Dennis & Naoko;Queens;Astoria;Entire home/apt;99;5;441;24/06/2019;4.50;1;226;;
308652;Antonín;Brooklyn;Kensington;Private room;39;1;45;16/05/2019;0.46;2;365;;
310458;Emily;Brooklyn;Park Slope;Private room;60;14;9;29/08/2016;0.09;2;0;;
295128;Carol Gloria;Bronx;Clason Point;Private room;90;2;0;;;7;349;;
310670;Vie;Bronx;Eastchester;Entire home/apt;105;2;38;27/06/2019;0.50;13;365;;
170510;Renée;Brooklyn;Bedford-Stuyvesant;Entire home/apt;135;2;248;25/06/2019;2.39;2;11;;
306545;Olivia;Manhattan;East Village;Entire home/apt;390;5;143;19/06/2019;1.38;2;316;;
311286;Helene;Brooklyn;Bedford-Stuyvesant;Private room;70;3;36;19/08/2018;0.41;4;281;;
312288;Paula;Manhattan;Inwood;Private room;75;7;0;;;2;323;;
312722;Kristian & Di;Brooklyn;Williamsburg;Private room;60;17;14;07/01/2019;0.14;4;362;;
146944;David;Manhattan;East Village;Entire home/apt;200;3;0;;;1;0;;
313317;Niya;Brooklyn;Crown Heights;Private room;100;3;279;24/06/2019;2.69;1;301;;
311286;Helene;Brooklyn;Bedford-Stuyvesant;Private room;70;4;18;02/01/2019;0.22;4;189;;
314256;Debbie;Brooklyn;Crown Heights;Private room;110;6;50;26/05/2019;3.55;1;0;;
314582;Anthony;Brooklyn;Crown Heights;Private room;60;2;227;27/06/2019;2.27;2;287;;
7310;Tilly;Manhattan;Little Italy;Entire home/apt;90;14;1;02/01/2019;0.16;1;14;;
46978;Edward;Manhattan;East Village;Private room;68;2;203;23/06/2019;1.96;2;86;;
317809;Claire;Manhattan;Upper West Side;Entire home/apt;115;2;210;06/07/2019;2.10;1;261;;
319092;Juhli;Brooklyn;Bedford-Stuyvesant;Private room;75;5;64;05/01/2019;0.67;1;68;;
320422;Marlon;Brooklyn;Williamsburg;Private room;60;3;0;;;1;0;;
